id,date,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
33,15-02-2011 10.49,North,Search,General,Premium,2.55,0.85,0.1297,99,2444,0.0926,4.49,1.366025404,60,1358.52,166.3094206
34,17-11-2011 9.25,Central,Social Media,Stationery,Premium,24.75,4.95,0.2262,254,4183,0.0126,3.59,0.366025404,30,994,107.669746
35,28-10-2011 16.10,North,Social_Media,Stationery,Premium,1.26,0.42,0.2901,89,1514,,2.34,-0.366025404,60,1478.41,210.8282218
36,24-06-2011 16.21,North,Social Media,Storage,Premium,13.2,0.55,0.5009,178,2525,0.0042,2.49,-1,7,8784.96,160.5725468
37,15-11-2010 9.14,North,Affiliate,Kitchen,Premium,15.3,252.2917585,0.1021,98,4243,0.1163,6.81,0.366025404,21,1433.07,79.09431328
38,21-10-2011 13.50,North,Influencer,General,Premium,16.6,4.15,0.1146,115,1640,0.0325,4.2,-0.366025404,28,5252.34,110.0042492
39,06-05-2010 17.22,North,Social Media,Stationery,Premium,7.8,1.95,0.1732,658,14919,0.0233,2.28,-0.366025404,60,100609.5,168.1075681
40,21-12-2009 12.38,North,Email,General,Premium,15,1.25,0.2396,22,722,0.0138,2.99,1,14,558.15,104.2474398
41,14-07-2011 11.47,North,Influencer,General,Standard,25.2,2.1,0.2151,258,3440,0.0325,7.58,-1.366025404,60,97.15,75.1448055
42,31-03-2010 11.39,North,Social Media,Stationery,Premium,5.04,0.42,0.2429,181,3618,0.005,5.12,1,28,983.08,230.5984913
43,02-05-2010 12.13,North,Email,Stationery,Premium,10.5,0.42,0.6,201,6139,0.0849,5.19,-0.366025404,60,958.68,208.4989441
44,02-02-2011 15.48,North,Email,General,Premium,1.25,1.25,0.043,105,1692,0.0462,2.02,1.366025404,90,34490.4,146.5231306
45,25-07-2010 14.22,Nort,TV,General,Premium,1173.51471,0.85,0.0598,164,2824,0.0679,6.23,-1.366025404,14,3874.69,94.70512279
46,10-12-2009 20.04,North,Influencer,Storage,Premium,2.9,0.29,0.5042,,586,0.0327,4.21,1,7,157.85,296.9179857
47,09-05-2010 14.35,North,Email,Kitchen,Premium,7.8,0.65,0.4924,209,1420,0.1161,0.9,-0.366025404,90,,196.4302304
48,12-08-2010 15.06,North,TV,General,Premium,19.8,1.65,0.2774,,4368,0.1125,3.4,-1.366025404,28,3708.67,110.5289275
49,29-08-2010 11.31,North,Socail Media,Seasonal,Premium,3.48,0.29,0.0651,493,14751,0.0389,2.48,-1.366025404,90,660.33,365.1898908
50,03-12-2010 11.35,North,Search,Lighting,Premium,5.9,2.95,0.1883,40,654,0.0371,2.1,1,21,1108.71,106.2312002
51,10-11-2010 12.42,North,Affiliate,General,Premium,1.65,1.65,0.0676,440,6741,0.1099,4.06,0.366025404,28,776.91,152.4816855
52,26-10-2010 16.47,Norht,Social Media,Storage,Premium,17,4.25,0.356,143,5661,0.0221,7.59,-0.366025404,21,7396.02,78.9753735
53,21-11-2011 12.59,North,Social Media,General,Budget,12.75,4.25,0.3472,386,10060,0.0668,5.55,0.366025404,60,52.35,124.123719
54,23-01-2011 12.41,North,Affiliate,General,Premium,4.95,4.95,0.1651,717,11561,0.0137,2.95,1.366025404,30,1632.47,90.01188508
55,25-11-2010 12.25,NORTH,Search,Seasonal,Premium,15,1.25,,271,3145,0.0057,3.16,0.366025404,21,3247.8,155.4837446
56,22-11-2011 11.18,North,Affiliate,General,Standard,0.65,0.65,0.0062,169,1819,0.0143,1.85,0.366025404,28,222.3,179.0156744
57,21-09-2010 13.40,North,Social Media,Stationery,Premium,,2.95,0.4291,,13481,0.1058,5.89,-1,30,1264.05,101.8317963
58,16-12-2009 10.56,North,Email,Stationery,Premium,10.2,0.85,0.0692,,11575,,5.19,1,7,,159.5924253
59,09-08-2011 12.58,North,Email,General,Premium,3.3,1.65,0.0192,426,6235,0.0077,1.44,-1.366025404,90,49498.6,143.7603591
60,07-09-2010 14.31,North,Email,Storage,Premium,15.9,7.95,0.2198,426,11175,0.0657,,-1,14,348.94,61.0736557
61,25-02-2010 12.16,North,Email,Storage,Premium,3.75,1.25,0.2492,428,9533,0.0376,6.79,1.366025404,21,4197.01,129.7671337
62,08-12-2011 13.27,North,Search,Stationery,Premium,5.04,0.42,0.0745,125,1879,0.0491,9.02,1,21,3479.76,213.6593628
63,15-11-2011 11.37,North,Search,Storage,Premium,2.08,2.08,0.2066,,13498,0.0258,1.02,0.366025404,30,1540.77,146.7011059
64,09-05-2010 12.03,North,Influencer,General,Standard,22.5,3.75,0.0234,426,4731,,3.02,-0.366025404,,447.56,145.8940524
65,15-04-2011 9.27,North,Social Media,General,Premium,29.7,4.95,0.2724,7,165,0.0104,5.54,0.366025404,30,9674.75,80.2499856
66,24-11-2010 15.34,North,TV,Storage,Premium,49.5,1.65,0.3259,585,9677,0.104,1.52,0.366025404,90,223.4,168.0332981
67,06-12-2010 12.06,North,TV,General,Premium,4.2,2.1,0.1885,319,1720,0.0943,0.93,1,60,2479.41,151.1098722
68,17-02-2010 8.47,North,Email,Storage,Premium,12.6,2.1,0.063,170,2579,0.1216,0.32,1.366025404,14,649.32,164.0154486
69,04-08-2011 14.33,North,Search,Storage,Premium,58.5,1.95,0.393,423,6538,0.0723,2.42,-1.366025404,60,5834.84,100.6090736
70,25-07-2010 11.37,North,Email,Stationery,Standard,30,15,0.2818,405,7075,0.0037,6.42,-1.366025404,14,166.2,24.08912284
71,03-12-2009 16.54,North,Social Media,General,Premium,7.65,2.55,0.0632,601,17594,0.0082,4.05,1,28,238.82,152.769066
72,05-12-2010 12.53,North,Email,General,Premium,,1.65,0.0192,,8833,0.0312,2.2,1,30,21566.1,168.113937
73,12-11-2010 11.31,North,TV,General,Standard,2.95,2.95,0.1236,327,13371,0.0643,3.08,0.366025404,90,178.1,102.8512773
74,26-08-2011 15.44,North,Email,Kitchen,Premium,15,1.25,,81,1735,0.0748,7.61,-1.366025404,21,9912.78,93.77815766
75,07-10-2010 11.46,North,Social Media,Stationery,Premium,10.08,0.42,0.0977,177,9379,0.0385,6.18,-0.366025404,21,1845.17,228.6913529
76,14-10-2010 11.06,North,TV,Kitchen,Premium,17.85,5.95,0.3718,179,2960,0.067,2.32,-0.366025404,7,3146.44,87.88831241
77,25-11-2010 13.18,North,Email,Storage,Premium,1487.822744,1.95,0.363,506,11583,0.0215,1.65,0.366025404,,4323.62,192.0961402
78,25-10-2011 14.35,North,Email,Lighting,Standard,3.4,0.85,0.1894,74,899,,6.89,-0.366025404,60,1791.63,119.884022
79,05-09-2010 16.02,North,Social Media,General,Premium,6.95,6.95,0.0527,145,1725,0.0839,4.19,-1,7,,72.13506321
80,08-08-2010 15.53,North,Email,General,Standard,,1.25,0.1123,35,-449,0.132,6.51,-1.366025404,28,186.4,91.2049899
81,29-03-2011 11.29,North,Email,General,Premium,15,3.75,0.4381,289,5861,0.0244,6.85,1,90,164.6,93.24992539
82,20-05-2010 19.29,North,Search,Storage,Premium,11.8,2.95,0.1708,1490,59054,0.0078,3.12,-0.366025404,90,1084.85,150.4152381
83,15-11-2010 12.43,North,Search,Storage,Premium,5,1.25,0.1571,500,8264,0.0479,6.81,0.366025404,14,1846.44,163.7579679
84,15-04-2010 16.35,North,Social Media,General,Premium,15,3.75,0.1378,360,5445,0.0511,0.18,0.366025404,90,74.76,172.4700539
85,21-06-2010 16.04,North,Search,General,Standard,1.25,1.25,0.1657,23,539,0.0124,4.61,-1,14,443.34,70.77154354
86,22-07-2011 12.09,North,Affiliate,General,Premium,34.56,0.72,0.2594,183,5215,0.0028,,-1.366025404,7,15137.43,107.0684976
87,07-11-2011 11.41,North,Influencer,Stationery,Premium,3.75,1.25,0.2698,214,11206,0.0454,3.95,0.366025404,30,,159.0719332
88,12-05-2010 9.42,North,Email,Kitchen,Budget,10.2,0.85,,328,4212,0.0461,3.67,-0.366025404,,120,187.5418634
89,01-07-2010 8.57,North,Email,General,Premium,22.5,3.75,0.3085,160,3857,0.1141,1.33,-1.366025404,28,69340.38,106.7411724
90,12-02-2010 15.24,North,Search,Seasonal,Premium,3.9,1.95,0.0303,276,6508,0.0497,8.34,1.366025404,14,674.32,121.807435
91,06-12-2010 13.13,North,Social Media,General,Premium,29.7,4.95,0.1901,,810,0.0224,3.79,1,7,4030.77,116.3761953
92,05-06-2011 12.51,Central,Social Media,Stationery,Standard,40.5,6.75,0.1211,183,3066,0.128,5.07,-1,28,517.55,71.75392405
93,28-09-2011 14.48,North,TV,General,Premium,25.2,2.1,0.0332,521,8420,0.0355,7.88,-1,60,5631.04,105.9184836
94,19-08-2010 12.23,North,Social Media,Seasonal,Premium,60,1.25,0.568,280,5277,0.0023,1.32,-1.366025404,60,1031.64,113.6751072
95,06-12-2011 14.23,North,Search,General,Premium,,1.25,0.0201,170,4138,0.008,6.75,1,30,69806.44,149.4938778
96,24-11-2011 10.07,North,TV,Seasonal,Premium,19.8,1.65,0.1365,,7215,0.0384,4.84,0.366025404,28,4803.19,116.7067064
97,22-11-2010 11.37,North,Email,General,Premium,19.9,9.95,0.07,201,2708,0.02,1.46,0.366025404,90,18232.78,114.8893932
98,06-12-2010 13.53,North,Social Media,General,Premium,1.65,0.55,0.0505,443,3948,0.1376,4.7,1,14,7326.07,289.5812228
99,07-07-2011 12.56,North,Email,Storage,Standard,10,1.25,0.2954,568,7583,0.1195,3.53,-1.366025404,,13.95,136.8958719
100,01-06-2010 9.02,North,Search,Storage,Premium,19.9,9.95,0.4356,346,6926,0.0341,5.72,-1,30,1125.9,43.86334498
101,01-02-2011 13.26,north ,Search,General,Premium,70.8,2.95,0.1953,122,5577,0.2216,4.73,1.366025404,90,31157.501,222.5569802
102,24-05-2010 11.39,North,Search,Storage,Premium,2.75,0.55,0.0935,528,9122,0.137,3.04,-0.366025404,60,2821.5,299.6649793
103,01-04-2011 14.58,North,TV,General,Standard,8.5,8.5,0.1817,265,4137,0.0703,2.89,0.366025404,21,2427.01,95.14830953
104,04-05-2011 13.17,North,Influencer,Stationery,Premium,15.9,7.95,0.2041,281,8886,0.0197,1.4,-0.366025404,60,4064.65,124.6440018
105,07-12-2011,North,Email,Storage,Premium,41.6,2.08,0.1084,230,5558,0.068,7.22,1,7,5632.14,136.0898496
106,02-06-2011 17.41,North,Search,General,Premium,0.95,0.95,0.1811,800,13996,0.0483,4.56,-1,7,9029.63,181.1193342
107,09-11-2011 13.54,North,Email,General,Premium,25.2,2.1,0.3408,438,16145,0.0744,2.35,0.366025404,90,3988.11,138.271809
108,19-12-2010 14.03,North,Email,Seasonal,Premium,2.5,1.25,0.0984,280,9759,0.0874,8.31,1,28,531.26,146.6169118
109,30-11-2011 14.33,North,Social Media,Seasonal,Premium,3.3,1.65,0.0596,886,14238,0.0164,2.49,0.366025404,30,1220.11,180.1449156
110,28-07-2010 17.04,North,Email,Kitchen,Premium,15.3,2.55,0.314,266,7949,0.0022,5.04,-1.366025404,60,1157.77,62.28533295
111,27-06-2010 12.01,North,Search,General,Premium,1.65,1.65,0.2265,90,816,0.0069,3.23,-1,28,2516.49,96.19164379
112,15-03-2010 16.02,North,Social Media,Seasonal,Premium,35.7,5.95,0.3967,661,17572,0.08,2.05,1,28,490.93,149.9227643
113,02-12-2009 12.06,North,Influencer,Kitchen,Standard,6.75,6.75,0.5384,19,470,0.0232,5.45,1,7,360.79,55.99707122
114,21-06-2011 9.18,North,TV,General,Premium,3.48,0.29,0.0898,319,7303,,3.43,-1,30,33884.85,246.9671054
115,06-02-2011 14.56,North,Search,Storage,Budget,19.5,1.95,0.3682,601,11723,0.006,4.55,1.366025404,14,114.5,125.0398427
116,01-12-2010 16.58,North,Affiliate,General,Premium,3.95,3.95,0.1467,216,4023,0.0661,2.05,1,,18446.75,110.7158829
117,14-04-2011 12.00,North,Search,Storage,Premium,19.8,4.95,0.2825,172,6412,,2.78,0.366025404,30,6196.69,100.4443501
118,20-07-2011 13.53,North,Search,Storage,Standard,2.08,2.08,0.4269,978,12541,0.1476,5.9,-1.366025404,60,13.36,118.6679503
119,28-06-2010 12.04,Norht,Search,Storage,Premium,19.5,1.95,0.0258,506,17588,0.097,,-1,90,1193.38,168.6263823
120,13-10-2011 11.57,North,Affiliate,General,Premium,4.68,0.39,0.0636,161,1552,0.0263,4.47,-0.366025404,7,2238.83,198.1932431
121,01-11-2011 12.00,North,Search,Storage,Premium,1127.078262,10.95,0.2338,186,1898,0.0561,4.09,0.366025404,28,107996.14,151.3980575
122,27-03-2011 15.46,North,Search,Storage,Premium,2.95,2.95,0.114,701,62096,0.0488,3.21,1,21,1753.8,138.8524136
123,14-01-2011 10.20,North,Affiliate,General,Premium,20,1.25,0.042,310,9639,0.1048,6.25,1.366025404,90,12424.62,183.2379358
124,08-05-2011 11.41,North,Search,Seasonal,Premium,5.1,0.85,0.1844,384,5495,0.1023,1.85,-0.366025404,7,2905.9,214.8764931
125,14-07-2011 13.00,North,Social Media,General,Premium,0.58,0.29,0.1797,222,5016,0.061,6.17,-1.366025404,7,1533.24,267.3907247
126,28-04-2010 9.15,North,Affiliate,Seasonal,Premium,10.2,0.85,0.2257,222,7324,0.0519,6.24,0.366025404,28,10209.04,141.3460011
127,09-05-2011 13.03,North,TV,General,Premium,8.3,4.15,0.6,204,3462,0.0119,,-0.366025404,14,16621.85,52.2202824
128,14-02-2011 14.14,North,TV,General,Premium,1.45,1.45,0.3151,,9478,0.0129,2.04,1.366025404,21,1942.78,106.189544
129,28-03-2010 11.38,North,Affiliate,Lighting,Premium,14.85,4.95,0.4857,126,2743,0.0462,3.46,1,60,8117.48,82.17808265
130,30-11-2010 10.56,North,Search,General,Premium,127.5,2.55,0.1036,263,1757,0.0031,7.36,0.366025404,7,1669.9,122.1488667
131,03-12-2009 10.28,North,Email,Storage,Premium,39,1.95,0.1378,450,7468,0.0423,0.64,1,60,995.08,192.1533032
132,01-04-2011 14.58,North,Social Media,General,Standard,1447.190676,12.75,0.021,1314,20968,0.0148,5.17,0.366025404,,2827.94,177.6191114
133,09-03-2010 17.12,North,Affiliate,General,Premium,121.68,1.69,0.2501,323,5170,0.1023,4.85,1,14,5130.48,164.5028019
134,12-10-2010 13.54,North,Affiliate,Storage,Premium,8.85,2.95,0.0588,744,41615,0.0188,7.5,-0.366025404,21,335.3,95.92358971
135,28-01-2010 17.35,North,Affiliate,General,Premium,15.3,2.55,0.0165,9,96,0.004,4.18,1.366025404,7,1530.17,69.98711819
136,05-12-2010 13.49,North,Search,General,Premium,9.95,9.95,0.2822,148,2389,0.0324,5.7,1,60,5828.52,95.61884472
137,24-10-2011 10.27,North,Social Media,General,Premium,23.8,5.95,0.117,135,3118,0.0172,,-0.366025404,60,3607.33,109.3878586
138,21-10-2010 18.32,North,Search,Storage,Premium,13.2,0.55,0.4569,,11184,0.0069,4.85,-0.366025404,21,,188.2685282
139,16-09-2011 13.53,North,Social Media,General,Premium,,4.15,0.2426,433,9777,0.0466,3.65,-1,21,6010.92,99.75853025
140,05-09-2011 17.44,North,Email,General,Premium,5.8,1.45,0.2248,404,3196,0.0835,4.5,-1,28,28795.03,153.0610555
141,23-09-2011 12.55,North,Email,Storage,Premium,16.5,1.65,0.2514,401,9024,0.0258,0.88,-1,7,9764.07,125.452768
142,08-08-2010 14.57,North,TV,General,Premium,,2.95,0.5476,98,1040,0.082,8.31,-1.366025404,90,295.35,45.04660197
143,02-12-2010 8.52,North,Affiliate,General,Premium,14.85,4.95,0.0752,717,10758,0.0008,3.12,1,30,7676.6,119.382153
144,06-06-2010 14.17,North,Email,General,Premium,22.47,7.49,0.1066,357,17305,0.0279,3.47,-1,30,3283.8,77.57286785
145,28-09-2011 10.27,North,Search,General,Standard,15.8,3.95,0.159,394,14862,0.0389,1.02,-1,90,534.01,130.1922806
146,27-07-2010 10.26,North,Search,General,Premium,10.15,251.2208483,0.2505,355,2523,0.2242,2.09,-1.366025404,30,,105.0330678
147,27-01-2010 16.00,NORTH,Social Media,Kitchen,Premium,11.25,3.75,0.0559,205,6804,0.0197,3.72,1.366025404,90,71.65,142.6624924
148,06-10-2010 12.42,north,Affiliate,General,Premium,0.95,0.19,0.0779,19,164,0.0268,0.77,-0.366025404,14,9218.35,154.2379927
149,19-04-2011 13.03,North,Email,General,Standard,15.6,0.65,0.0759,460,4878,0.1191,4.61,0.366025404,60,250.45,246.532519
150,01-12-2010 12.43,North,Social Media,Storage,Standard,4.2,2.1,0.3098,131,1862,,3.1,1,,559.44,118.9734563
151,14-12-2009 11.48,North,Social Media,Kitchen,Premium,9.95,9.95,0.4567,45,891,0.1676,5.23,1,90,3015.81,132.8874055
152,22-09-2011 13.31,North,Search,General,Premium,24.96,2.08,0.1379,111,2179,0.0178,5.63,-1,7,1830.84,75.1629116
153,18-07-2011 10.49,North,Email,Stationery,Premium,46.8,0.65,,363,14893,0.0216,5.88,-1.366025404,14,1269.31,127.3229326
154,10-10-2011 9.41,North,Search,Stationery,Premium,49.5,4.95,0.0955,254,3696,0.1397,7.48,-0.366025404,60,1742.48,132.3223372
155,16-10-2011 15.44,North,Affiliate,General,Premium,5.9,2.95,0.6,631,7002,0.1415,1.26,-0.366025404,28,1945.12,127.78148
156,05-12-2011 17.17,North,TV,General,Premium,4.13,4.13,0.3319,228,5634,0.0325,2.94,1,90,56327.08,89.44447427
157,30-10-2011 14.27,North,TV,General,Premium,11.9,5.95,0.6,64,2336,0.0045,5.44,-0.366025404,21,1175.98,37.83189679
158,24-08-2010 17.31,North,Email,General,Premium,5.8,1.45,0.414,304,5691,0.0234,6.48,-1.366025404,7,1940.62,85.38983367
159,21-02-2011 9.58,North,Search,Kitchen,Premium,8.94,1.49,0.0208,183,3562,,4.41,1.366025404,60,4712.11,162.6337951
160,05-12-2010 11.02,North,Affiliate,Seasonal,Premium,4.25,0.85,0.3105,305,4219,0.0332,3.52,1,7,5052.16,167.6361277
161,10-04-2011 11.48,North,Search,Kitchen,Premium,69.52,0.79,0.1475,33,445,0.0127,4.37,0.366025404,7,4898.85,128.8640932
162,10-10-2010 14.56,East,Email,Kitchen,Premium,15.6,0.65,0.0737,209,1878,0.0511,0.83,-0.366025404,7,953.97,189.7672398
163,05-08-2011 17.12,North,Influencer,General,Premium,5.9,2.95,0.0949,83,1987,0.0064,8.12,-1.366025404,60,277302.85,60.26458042
164,06-04-2011 16.47,North,Influencer,General,Premium,9.9,1.65,0.4069,115,3679,0.0157,2.96,0.366025404,14,4440.65,122.0614272
165,08-06-2011 13.35,North,Influencer,General,Premium,,4.15,0.3034,323,9015,0.0064,5.29,-1,,41955.04,70.36353944
166,05-02-2010 11.21,North,Email,General,Premium,17.4,1.45,0.1606,278,6299,0.0496,,1.366025404,14,3596.78,147.9969869
167,09-08-2011 10.47,North,Search,General,Premium,17.7,2.95,0.1959,631,5844,0.0887,,-1.366025404,28,4469.62,104.8652514
168,11-07-2011 15.52,North,Social Media,Stationery,Premium,5.04,0.42,0.0323,335,12401,0.0019,6.62,-1.366025404,,90347.09,237.6173242
169,12-09-2011 14.39,North,Affiliate,Storage,Premium,15,1.25,0.2213,108,4654,0.0861,6.58,-1,60,,101.2347442
170,26-09-2011 12.58,North,Email,General,Standard,1555.525348,2.1,0.1425,300,4328,0.0287,,-1,14,882.24,81.68405266
171,25-10-2011,North,Social Media,Seasonal,Premium,5,1.25,0.1021,662,7472,0.0372,,-0.366025404,,2668.08,184.4589682
172,26-08-2010 15.39,North,TV,General,Premium,12.75,4.25,0.2028,122,2049,0.0125,4.07,-1.366025404,60,744.27,52.88098849
173,24-11-2010 14.39,Norht,Affiliate,General,Standard,3.3,1.65,0.2901,186,1209,0.1229,5.03,0.366025404,21,809.81,128.3709131
174,22-01-2010 12.51,North,Social Media,General,Budget,15,1.25,0.2688,242,3806,0.0439,6.33,1.366025404,14,96,151.2415814
175,13-02-2011 12.05,North,Affiliate,General,Premium,1.65,1.65,0.2269,94,1273,0.0067,,1.366025404,60,1479.84,91.97849427
176,01-11-2010 16.01,North,Affiliate,Seasonal,Premium,10.2,0.85,0.0877,,2162,0.0877,3.97,0.366025404,7,2473.42,175.4865544
177,17-11-2011 13.58,North,Search,General,Standard,4.2,2.1,0.1175,79,1112,0.0736,3.61,0.366025404,7,702.57,109.4628766
178,22-08-2010 13.40,North,Social Media,General,Premium,0.84,0.42,0.3401,80,1578,0.054,2.13,-1.366025404,60,1384.09,192.7778929
179,20-04-2010 11.30,North,Email,General,Standard,22.5,3.75,0.1423,,13067,0.1386,4.9,0.366025404,7,470.72,125.3563093
180,03-12-2009 14.07,North,Social Media,General,Premium,2.1,2.1,0.027,23,749,0.0548,5.31,1,28,236.25,96.33797913
181,08-11-2011 9.44,North,Affiliate,Lighting,Standard,17.9,8.95,0.05,83,3447,0.0509,1.94,0.366025404,14,612.74,102.9375715
182,14-08-2011,North,Social Media,Storage,Standard,2.2,0.55,0.2725,366,13324,0.0113,5.32,-1.366025404,7,804.15,188.5415396
183,30-11-2011 14.16,North,Search,Stationery,Premium,9.96,0.83,0.2576,227,4220,0.0106,5.37,0.366025404,30,23162.42,176.8900482
184,18-05-2010 11.53,North,Email,Seasonal,Premium,7.49,7.49,0.1429,516,9046,0.0592,6.1,-0.366025404,7,4258.8,73.13115342
185,25-10-2010 14.01,north,Affiliate,Seasonal,Premium,11.8,2.95,0.3205,374,7374,0.0437,3.6,-0.366025404,14,4811.72,95.82113459
186,25-08-2010 11.07,North,Influencer,Storage,Premium,13.2,1.65,0.5492,333,10057,0.0721,3.52,-1.366025404,14,107.2,98.02819245
187,31-03-2011 10.07,North,Email,Storage,Premium,16.5,1.65,0.1468,681,19285,0.1107,3.12,1,60,3657.23,193.2561012
188,12-05-2010 9.51,North,TV,General,Premium,15.6,1.95,0.2612,203,1830,0.0012,6.18,-0.366025404,28,2720.56,79.14496376
189,18-08-2010 13.58,North,Search,Kitchen,Premium,17.7,2.95,0.6,524,22391,0.0528,2.44,-1.366025404,28,221.4,81.41227376
190,15-05-2011 13.14,North,Search,Stationery,Premium,1.25,1.25,0.4572,641,7855,0.0941,3.24,-0.366025404,28,1013.6,171.3482557
191,08-02-2010 15.48,North,Influencer,Storage,Premium,26.4,0.55,0.4266,543,10422,0.1995,6.25,1.366025404,60,552.13,317.4699468
192,19-06-2011 11.36,North,Search,Kitchen,Standard,3.3,1.65,0.1244,351,6268,0.1576,0.25,-1,,246.58,172.1912294
193,30-11-2010 16.26,North,Influencer,Kitchen,Premium,15,1.25,0.4747,179,3380,0.0947,7.69,0.366025404,21,2053.03,165.2025156
194,03-11-2011 16.12,North,Affiliate,Lighting,Standard,17.7,2.95,0.2201,,3284,0.0523,0.31,0.366025404,21,317.89,147.1751358
195,05-07-2011 14.56,North,Search,General,Standard,14.85,4.95,0.095,941,17950,0.0493,3.05,-1.366025404,28,717.34,90.28611845
196,03-12-2009 13.04,North,Email,General,Standard,102,2.55,0.3236,631,22129,0.048,1.98,1,60,777,173.8988463
197,28-03-2010 15.13,North,Affiliate,General,Standard,1222.054264,1.65,0.1525,48,600,0.0263,4.85,1,60,23.9,142.9822892
